Segments,Image,Enhancement,Focus,Background
5.0,0.0,8.289637380234973,163.88888888888889,19.770332690263395
5.0,1.0,8.53978292182709,168.0,19.67263120595299
5.0,2.0,13.346662722654827,254.55555555555554,19.072599708649946
5.0,3.0,11.813125061628869,226.11111111111111,19.1406685302571
5.0,4.0,8.847628984802293,173.55555555555554,19.616052600496083
5.0,5.0,12.300952658493092,232.66666666666666,18.9145241938659
5.0,6.0,9.985513977490758,189.55555555555554,18.983054450962637
5.0,7.0,7.595236619882229,147.22222222222223,19.383493838340094
5.0,8.0,18.055452397652825,344.55555555555554,19.083185952202843
5.0,9.0,6.684694182600215,129.33333333333334,19.347681404779717
5.0,10.0,12.76624317016471,231.33333333333334,18.120705539588172
5.0,11.0,24.44491947313941,452.6666666666667,18.517821961494548
5.0,12.0,8.439350684005731,159.55555555555554,18.906141186660893
5.0,13.0,10.879047466875635,208.66666666666666,19.18060081105555
5.0,14.0,10.236761714538282,193.66666666666666,18.91874325760857
5.0,15.0,14.484193230497766,289.3333333333333,19.975799047206582
5.0,16.0,13.469159419367589,251.55555555555554,18.6764108823182
5.0,17.0,9.075076428031606,170.22222222222223,18.75711169731092
5.0,18.0,7.898290580830264,152.22222222222223,19.27280601598488
5.0,19.0,11.38763865827201,221.55555555555554,19.455794322611126
5.0,20.0,11.638130677321389,218.88888888888889,18.8079078125
5.0,21.0,6.377756762415702,121.33333333333333,19.024452931217766
5.0,22.0,9.665873772158584,187.33333333333334,19.380900035434465
5.0,23.0,8.480734911760118,163.55555555555554,19.28554037560534
5.0,24.0,8.438516431127244,158.11111111111111,18.7368375
5.0,0.0,7.318909537258692,143.77777777777777,19.64469939761408
5.0,1.0,8.936403856056797,174.77777777777777,19.55795425016733
5.0,2.0,14.504116392961091,271.77777777777777,18.737975510846884
5.0,3.0,11.95292210821415,229.11111111111111,19.167790857907793
5.0,4.0,7.558227626128036,148.88888888888889,19.69891570534273
5.0,5.0,12.712134587025059,239.33333333333334,18.827155399818892
5.0,6.0,10.386468513454252,196.88888888888889,18.95628804283633
5.0,7.0,7.945339857235009,154.0,19.382430804362375
5.0,8.0,16.299272171600204,310.77777777777777,19.06697271546124
5.0,9.0,6.500794663855755,125.0,19.228418441670932
5.0,10.0,13.485624210669972,247.11111111111111,18.324039529115318
